"","name","category","review.point","price","currency","description"
"119","The Glenlivet XXV, 25 year old, 43%","Single Malt Scotch","93","350.00","$","Finished in first-fill sherry casks for two years. My feeling on any whisky finished in a different cask is this: it should give as much to the flavor profile as it takes away. In this instance, I feel it has, and more. It’s not as nimble as younger versions, but the sherry, along with the extra aging, contributes a silky texture and a richer, fuller dimension to the whisky. I can still detect some of the peach, vanilla, tropical fruit, and honeyed malt I enjoy in younger expressions, but its key flavor components are toffee, honey-dipped citrus, red licorice, chocolate-covered almonds, and fig, along with dried spice (cinnamon, nutmeg, mint tea) that emerges on the palate and peaks on the finish. The flavors are seamless and elegantly balanced.
"
"120","Glenmorangie Original, 10 year old, 43%","Single Malt Scotch","93","45","$","Fresh, vibrant, and beautifully complex. A clean, malty foundation accentuated by bright complex fruit, delicate spice, dried flowers, and gentle honeyed vanilla notes that linger on the palate. This is a wonderful whisky which is very versatile, but I can only imagine what it would taste like at 46% and unchill-filtered like the wood finish expressions.
"
"121","Glenmorangie Astar, 57.1%","Single Malt Scotch","93","85.00","$","Astar’s flavor profile is similar to Glenmorangie 10 year old in many respects, showing a superb balance of sweetness, fruit, and spice. It’s not as subtle as the 10 year old expression, but it is creamier, richer, and fleshier, with loads of honeyed vanilla, coconut cream pie, toasted almond, vibrant spice (cinnamon, mint), and a basketful of citrus and summer fruits. The fact that it is bottled at 100 British Proof (57.1% abv) just accentuates every flavor and helps to make this whisky quite invigorating. Imagine Glenmorangie 10 year old with a shot of testosterone. I don’t rate very many ten year old (or younger ) whiskies over 90. This whisky has certainly earned it. 
"
"122","Glenmorangie Pride 1981, 56.7%","Single Malt Scotch","93","2850.00","$","Glenmorangie Pride employs the use of Sauternes barriques to give a 10 year period of secondary maturation to a batch of spirit distilled in 1981. The result is a whisky with an intense, pungent, earthy nose; very complex, with polished old furniture notes, spices, oak tannins, and licorice. The palate is ‘full on’ for a Glenmorangie; waxy, with sherbet, honey, and baked apple, then orange marmalade, sultana, and a hint of smoke in the lengthy finish. Available July 1, 2011. Price is approximate.  "
"123","The Glenrothes, 1975 vintage, 43%","Single Malt Scotch","93","500.00","$","A polished, very elegant expression with subtle complexity throughout. Notes of squeaky-clean fruit (tangerine, peach, nectarine, kiwi) in light syrup. Vibrant spice (cinnamon, white pepper, anise), creamy vanilla, and almond evolve on the palate, leading to a gentle finish. Surprisingly lively for a whisky more than 30 years old. When I think of great Glenrothes vintages, I go back to the 1972 vintage for comparison. Both are comparable in quality, with the 1972 vintage showing darker sugars, more weight, and more roasted nuts. 
"
"124","The Glenrothes “John Ramsay,” 46.7%","Single Malt Scotch","93","1000.00","$","Made from whisky aged in second fill American oak sherry casks, distilled between 1973 to 1987. Richly malty, with honeyed citrus, juicy oak, chocolate fudge, and nougat. More subtle floral notes, licorice (red and black), ginger, and chamomile tea. Polished oak on the finish balances the sweetness. A great whisky to honor a great whisky maker! (Only 200 bottles for the U.S.)"
"125","Highland Park, Cask #691, 1983 vintage, 23 year old, 59.8%","Single Malt Scotch","93","150.00","$","Very sophisticated and subtly complex. Perhaps the lightest-colored of the bunch. Fresh, appetizing brine and spice (cinnamon, vanilla, white pepper, and clove) on a bed of soft honey and creamy vanilla, with just a hint of fruit. The notes are bright, clean, and tight. Spicy, briny finish. A beautifully delicate Highland Park. (Bottled for Green’s) 
"
"126","Highland Park, 21 year old, 47.5%","Single Malt Scotch","93","100.00","$","The good news: This is one of the best Highland Park whiskies I have ever tasted. The bad news: it’s the new release for Travel Retail (formerly Duty Free). It’s lush, well-balanced, and very complex. Well-defined notes of toffee, candied fruit, and roasted nuts are accentuated by background honey, chocolate mousse, and smoke. Here’s the icing on the cake: it’s bottled at 47.5%, which really allows the flavors to shine. If you’re going overseas, consider tracking down a bottle. 
"
"127","Highland Park, 40 year old, 48.3%","Single Malt Scotch","93","1900.00","$","Antique copper color, with some streaks of gold. A complex array of dried fruit on the nose, peppered with dried spice, orange marmalade, dark chocolate, and wood shavings. On the palate, the immediate impact is once again marmalade, followed briefly by bramble before drier notes of dark chocolate, wood shavings, anise, and subtle smoke emerge. Dry and spicy on the finish, but never austere. A delicious, contemplative 40 year old Highland Park that has aged gracefully.

This is a permanent addition to the range. Out of curiosity, I tasted it next to the other great Highland Parks (the 30 year old and several very good single cask bottlings over 30 years old). This whisky is in the same league as the others. Its only down side is that it’s a lot more expensive than the others."
"128","Highland Park, 1968 vintage, 45.6%","Single Malt Scotch","93","3657.00","$","A marriage of eight casks (seven hogsheads, one sherry butt). A whisky in excellent shape for its age. Very clean and bright on the palate, with no excessive oak. Notes of lemon tart, clementine, plum, honeyed vanilla, and polished oak, peppered with clove, soft mint, marshmallow, and subtle toasted coconut. Clinging, mouth-coating finish.  £2,250
"
"129","Lagavulin 1993 Islay Jazz Festival bottling (bottled 2011), 55.4%","Single Malt Scotch","93","127.00","$","An extremely limited edition issued at last year’s Islay Jazz Fest, this was chosen by warehouseman Iain McArthur as a prime example of a ‘bodega’ sherry butt (see page XX for more on the ‘bodega’ process). It is, simply, massive, with concentrated soy/balsamic notes combining with hot embers, burning rosemary, fig, coffee, and candied peels. The smokiness is unrestrained on the tongue; all soot, earth, and a rolling wave of deep, pimento-accented meatiness leading to a kippery finish. Magnificent.  (Available only at the distillery)£80    "
"130","Lagavulin 1995 Feis Ile 2014 bottling, 54.7%","Single Malt Scotch","93","167","$","A sherry-cask Lagavulin, this immediately shows a rich, mellow power with a touch of potter’s wheel, but it needs water to bring out sandalwood, beach bonfire, kombu, Lapsang Souchong, and bog myrtle. The palate is where it shows itself fully; resinous and thick, unctuous even, with that scented pine/juniper tea note shifting into paprika-rubbed ham, membrillo, currants, blackberry. I’ve a feeling that this period will be seen as Lagavulin’s golden age. £99"
"131","Lagavulin 25 year old, 50.9%","Single Malt Scotch","93","1200","$","This cask strength, sherry cask matured expression was released as part of Lagavulin’s bicentennial celebration. The nose offers new leather, tropical fruits, brittle toffee, and brine, backed by spicy peat smoke. Smoky sherry notes open up in time. The rich, well-mannered palate boasts sweet peat, brine, muted sherry, figs, gentle spices, tangerines, and lemons. Becoming more savory in the long, gently smoky, malty finish. Very drinkable at cask strength. A great Lagavulin. (8,000 bottles)"
"132","Longrow 1974, 25 year old, 46%","Single Malt Scotch","93","525.00","$","Gold color. Peaty, smoky, mature aromas, with notes of damp earth, pencil shavings, seaweed, brine, and vanilla. Oily, viscous body. Flavors are similar to its aroma, with a spicy, salty, black pepper, dryish finish. 
"
"133","Longrow 18 year old, 46%","Single Malt Scotch","93","280.00","$","Straw/honey color. Light to medium weight, with a slightly oily texture. Shy on the nose, but makes up for it on the finish. Fresh brine, toasted coconut, bright citrus fruit, and subtle mint on a bed of vanilla cream and honeyed malt. The peat smoke is restrained on the nose, but is more assertive on the palate, and it really kicks in on the finish, which is briny, smoky, appetizing, and long. The best Longrow since the 1974 vintage. If it would only just open up a little more on the nose it would challenge the best from ‘73 and ‘74. (Only 120 bottles for the U.S.)
"
"134","The Macallan, 50 year old, 43%","Single Malt Scotch","93","3500.00","$","Amber-chestnut color. Aromas are very mature and so thick, one almost needs a knife to cut it. Notes of dried fruit (orange, lemons, pineapple) and wood spices (especially clove), with more than a suggestion of peat smoke. Thick, enveloping texture-like a warm coat on a bitterly cold day. Very mature. One can easily deduce this is a very old whisky-the woodiness is evident on the palate. But it is not in excess. There’s plenty of dried fruit, enticing wood spices, and peat to keep the palate entertained, all the way through to its very long, dry finish. 
"
"135","Gordon & MacPhail (distilled at Mortlach), 11 year old,k 1993 vintage, 60.7%","Single Malt Scotch","93","80.00","$","Full-flavored, confident, and very dynamic. Bright fruit, teasing toffee, complex spices, cereal grain, and underlying light leather notes are all tightly integrated. Think an 11 year old whisky can’t be mature or complex? Think again! A Speyside powerhouse! (Available in the Chicago area.) 
"
"136","Mortlach 18 year old, 43.4%","Single Malt Scotch","93","304","$","Deep amber in color with the green glints of first-fill sherry, this has bosky notes and meat—mutton and venison—plus graphite, bitter chocolate, and wet rock before layers of dried stone fruits and date. This is the most savory and Bovril-like of the new range. The palate is feral and earthy; think mushroom with game pie, and rowan berries. Deep, but with more dimensions than the previous 16 year old which, in comparison, seems like a blunt instrument. £180/500 ml"
"137","Port Ellen, 30 year old (2009 Release), 57.7%, ","Single Malt Scotch","93","370.00","$","Port Ellen whiskies are just going to keep getting rarer and more expensive. This old-fashioned whisky is beginning to show its age, but is still holding up nicely. It’s clean, with no excessive oak, and a soft, sweet maltiness for balance. Earthy and rooty at times, with tarry rope, beach pebbles, leafy smoke, bourbon barrel char, black licorice, lemon peel, and hints of shellfish and diesel fumes (like following a boat in the ocean). Long, smoky, lightly briny finish."
"138","Port Ellen 31 year old, 54.6%","Single Malt Scotch","93","455.00","$","Now the one that peat freaks wait patiently for every year, which makes it the bottling that produces the most debate. For me, this is up there with last year’s bottling, which itself ushered in a return to high standards after a slight dropping-off in expressiveness.
This is different, however. Yes, the color is as pale as ever — has anyone ever tasted an over-oaked Port Ellen? — and yes, the nose initially shows all of the distillery’s austere notes: think of a wet fish counter and the sensation of the sea rather than overt ‘fishiness,’ while there’s also a chilled cucumber note. The difference is the sweetness, which is more to the fore, and also, it would seem, a slight dropping-off in massive smokiness. Here the peat is integrated into the whole.
The palate has a numb spot right on the front, then wasabi-like heat coupled with olive oil. Soon the sea rolls in and it stands there like some creature from the Black Lagoon covered with balls of tar, draped in wet seaweed, encrusted with barnacles and clams — and clutching a kipper. But don’t forget the sweetness that spreads across the tongue and slowly drifts into fresh spice and antiseptic. Complex…and there’s a scant 3,000 bottled for the globe. [not available in the U.S.] £280"
"139","Port Ellen 1978 35 year old (Diageo Special Release 2014), 56.5%","Single Malt Scotch","93","3300","$","Scarcity and the secondary market have driven prices up, so either buddy-up to a rich guy, or club together to try this. Greater levels of cask interaction have added an extra dimension to a whisky that is often skeletal. The smoke’s in the background, as salted cashew, peppermint, tansy, furniture polish, and smoked meats take center stage. The palate is slowly expanding and smoked, with some chocolate and wax. Finally, a Port Ellen that is truly, classically mature. A killer. (2,964 bottles)"
"140","Port Ellen 37 year old, 55.2%","Single Malt Scotch","93","4000","$","The sixteenth Special Releases Port Ellen is the oldest to date. Initially, sea breeze on the nose, brine, rock pools, and gentle iodine, followed by dried fruits, peat, and wood polish. Full-bodied, very silky, again with brine to the fore, plus sweet peat, drying slowly, ginger, black pepper, and balancing tropical fruit notes. The finish is long, with burnt oak embers and licorice. Diageo Special Releases 2016. (2,900 bottles)"
"141","Port Ellen 37 year old (Diageo Special Releases 2017), 51%","Single Malt Scotch","93","3,500","$","This 1979 vintage is the 17th Special Releases Port Ellen. It has been aged in refill American oak hogsheads and butts. The nose offers fresh-mown grass, ripe pears, and damp tweed, before smoked fish and bonfire aromas emerge. The oily palate features spicy peat, barbecued meat, and peaches in syrup. Very long in the finish; smoky and earthy, with a hint of chili and mouth-drying tannins. (2,988 bottles)"
"142","Springbank, 35 year old, 46%","Single Malt Scotch","93","580.00","$","Antique amber color. Mature complex aromas-especially in wood spice notes. In addition to wood spices, I also found notes of roasted nuts, coconuts, orange marmalade, anise, and subtle brine. Thick and syrupy in texture, with complex flavors that echo its aroma. The depth on the palate is incredible! Long lingering finish. 
"
"143","Murray McDavid (distilled at Springbank) 1965, 34 year old, 46%","Single Malt Scotch","93","200.00","$","Antique amber color. Ripe, fallen fruit aromas laced with coconut, marshmallow, and almonds. The sherry cask influence is very prominent on the nose, but the Springbank ""brine"" character still manages to fight through. Full bodied, with a soothing texture. Huge flavors with great balance and depth, consisting of exotic fruits, complex wood spices, brine, and coconut. Long, lingering satisfying finish. 
"
"144","Duncan Taylor (distilled at Strathisla), 35 year old, Cask #7009, 45.1%","Single Malt Scotch","93","240.00","$","Aromatically fruity and quite full, with wonderful depth on the nose and palate. The fruit (golden raisins, apricot, red licorice, papaya) is balanced by restrained honey, vanilla, and fennel. The whisky is always dry but never excessively so. A delicious, ultra-mature whisky. 
"
"145","Talisker, 30 year old, 51.9%","Single Malt Scotch","93","300.00","$","Surprisingly clean and youthful for a 30 year old, both on the nose and palate. Complex, too, with a sea breeze freshness, vanilla malt, polished oak spice, smoked seaweed, lightly tarred boat docks, toasted nuts, and lingering telicherry pepper. Mature, yet still quite powerful. Rivals the original Talisker 25 year old and the Talisker 18 year old as one of the finest Talisker whiskies ever released. 
"
"146","Talisker 18 year old, 45.8%","Single Malt Scotch","93","65.00","$","A sophisticated and refined Talisker, if that’s not an oxymoron. But this is certainly true when compared to the 10 year old. This 18 year old is deeper too, with less of the fishnets, more of oak boat docks. Less lemongrass, more fruit gum drops. There’s still that knock-out punch on the finish. There’s a fine line between polishing the rough edges of a beautifully powerful whisky and ripping its heart and soul out with a knife by dumbing it down. This whisky has not crossed that line. A fabulous whisky! 
"
"147","The Last Drop 50 year old Double Matured, 51.8%","Blended Scotch Whisky","93","4500","$","TLD’s sixth release captivates with dark caramel, Brazil nut, polished oak, cacao, scorched earth, grilled field mushroom, and roasted coffee bean aromas. To sip is to submit to a discombobulating whirl of cherry and jellied black fruits replete with old sherry characteristics, replaced by an unctuous, oily base, torn asunder by seething spices of clove, pepper, and star anise. Ever-changing. Muted exit of dulled spice, browning apple, and eucalyptus. (898 bottles)"
"148","The Last Drop 1971, 47.2%","Blended Scotch Whisky","93","4,000","$","It’s like someone just turned up the volume on flavor. Cherry fudge, marshmallow, vanilla pod, ristretto, luscious caramel, almond-topped Dundee cake, and wood spices. Dark, oily, and muscular, with burnished orange, clove, licorice, and burnt char. Sweetness brims over the tongue with apple, pear,
and malted barley as it softens to a beautiful velvety texture. This whisky’s great journey
is over. The baked apricot instigates an eternal finish (1,352 bottles, 300 for the U.S.)"
"149","Cutty Sark, 25 year old, 45.7%","Blended Scotch Whisky","93","170.00","$","Well-structured and masculine with its rich malty backbone and mouth-coating fruit. Yet, there’s a silky, seductive underbelly that’s very compelling. Notes of sultana, honey-drenched mandarin, ripe peach, thick toffee, and anise, with a peppering of spice throughout, especially toward the finish, where a hint of smoke emerges. The grain whisky enhances the blend’s allure by cutting through the whisky’s viscosity, making it very more-ish. I love the combination of drinkability, flavor, complexity, and balance in this blend. Very versatile. Single malt drinkers will thoroughly enjoy this experience. (Note: at this time, this whisky is not sold in the U.S.)
"
"150","Sheep Dip Islay Blended Malt, 40%","Blended Malt Scotch Whisky","93","60","$","There has been an excellent streak of Islay blended malts recently, and here is another worthy contender from the Spencerfield Spirit Company. This one offers the sizzle of bacon fat, thick clods of peat, cocoa, and breezy smoke. The rounded palate has sweet satsuma, spice, generous malty notes, and burnt caramel. The wafting smoke builds until it engulfs the back of the palate. You will be wanting one of these."
"151","Glen Moray 25 year old Port Cask Finish, 43%","Single Malt Scotch","93","300","$","Distilled in 1988 and finished for an unspecified period in port casks after lengthy maturation in bourbon barrels. Floral, perfumed, and very enticing on the nose. Vanilla fudge, cocktail cherries, polished oak, and gentle spices. Soft and sweet on the palate, with vanilla, overripe orange, cinnamon, and milky coffee. Long and slightly peppery on the finish, with persistent drying fruitiness. Complex and extremely accomplished."
"152","Convalmore 1977 28 year old, 57.9%","Single Malt Scotch","93","248.00","$","OK, confession time. This remains one of my favorite whiskies ever, a classic example of what long, slow aging in a refill cask can do for a whisky — increase its unctuous nature, bring out butterscotch, ginseng, honey, deepen the orchard fruits, and release a dazzling spiciness on the tongue. It has balance, it has finesse, and there’s not much left. £155(Not available in the U.S.)"
"153","Dailuaine 1980 34 year old (Diageo Special Release 2015), 50.9%","Single Malt Scotch","93","2000","$","That rarely-spotted beast Dailuaine gets the Special Release treatment. This example has come from refill American oak and has immediate marzipan notes on top of the distillery’s fascinating mix of meaty density and sweetness. In time there are fat fruits, Victoria plum, bitter citrus, faded green leafiness, and chocolate notes. The palate is ripe, rich, and profound, with a hint of tropical fruits cut with cacao. Long, elegant, and complex, this is the best of this year’s bunch for me."
"154","Douglas Laing Big Peat Christmas 2013, 54.9%","Blended Malt Scotch Whisky","93","76","$","Launched a few years ago with a Dr. Haddock-like cartoon figure on the label, Big Peat does just what it suggests it does…and then some. It's a mix of Islay peated malts and includes some Port Ellen, but don't get distracted by that. Instead, indulge yourself in the biggest, peatiest, oiliest, earthiest, grungiest, gunkiest slab of industrial malt this side of a leaky steam engine. This whisky just gets better and better."
"155","Big Peat 25 year old, 52.1%","Blended Malt Scotch Whisky","93","236","$","Peat has grown up to become the best version of himself that he can be. The mellow, sweet smoke makes all your cares drift away. It’s like walking on an Islay beach through seaweed stranded at the high-tide mark. Lemon lozenges, Sweethearts, flashes of citrus, stewed apple, and growing smoke. The gentle, glossy, mouth-coating finish generates an urge to expertly puff smoke rings out through pursed lips. (300 bottles) £175"
"156","That Boutique-y Whisky Company (distilled at Glenturret) 35 year old, 48%","Single Malt Scotch","93","173","$","Sherry cask matured in its entirety, this rich, southern Highland beauty exudes a perfume of deep orange, sweet cherry, plum, nutty fruitcake, and pleasant oak. Beautifully balanced, it showcases sweet orange, red fruits, baked Victoria plum, and brown sugar, while ginger and pepper sparkle across the tongue. Honey and stewed fruits mollify the throat. An absolute joy."
"157","That Boutique-y Whisky Company (distilled at Macallan) 29 year old, 43.5%","Single Malt Scotch","93","560","$","This has the poise and physique of a classic sherried Macallan. Hazelnut, mixed peel, peach cobbler, and wood spices form a delightful olfactory combination. Warm, weighty sherry notes bathe the mouth with ginger loaf, milk chocolate chunks, and espresso in support, lilting toward a lip-smacking finish of peach melba and amontillado sherry. It’s increasingly rare to find a top-quality aged independent Macallan, so don’t miss out."
"158","Royal Salute 32 year old Union of the Crowns, 43%","Single Malt Scotch","93","380","$","Containing some precious closed distillery stocks, this feels like the height of luxury with its aromas of clove-studded oranges, cinnamon sticks, rich chocolate, and caramels. It’s slick and mouth-coating, emitting flavors of butter toffee, orange, and melted chocolate, with a nibble of ginger sponge, Jaffa cakes, and clove. It’s smooth and impeccably well mannered. (Global Travel Retail only)"
"159","Douglas Laing Old Particular (distilled at Carsebridge) 33 year old 1982, 45.4%","Single Grain Whisky","93","100","$","You little beauty! Maple syrup, pecan, sliced peach, and vanilla-laden bread-and-butter pudding. Soft baked-apple tart, smooth sticky toffee pudding, red apples, oozing with caramels and a fine layer of spice. The mouthfeel is silky, rounded, and effortlessly elegant. Finish of walnut, clove, and marron glacé. Douglas Laing has brought out some amazing grains lately, but this is better than ever. (K&L Wines exclusive, 233 bottles"
"160","Exclusive Malts Speyside 25 year old 1989 Cask #3,942, 48.8%","Single Malt Scotch","93","200","$","Exclusive Malts doesn't disclose the source distillery, which doesn't matter when you’ve got a whisky that’s a gem. Apple cider defines the nose and is complemented by ginger and iris. On the palate this whisky is lush but well balanced, with honeyed apple cider, gingerbread cookie, and baked apple. In the center of all this is rancio. Ginger spice and baked apple define the finish, which is long and flavorful. Great balance, integration, and flavor. What more can you ask for? (U.S. only)"
"161","Exclusive Blend 1993 23 year old, 50%","Blended Malt Scotch Whisky","93","145","$","You are missing a trick if you don’t snap up these small batch blended malts when you see them. Savory beef juices, black fruits, particularly black currant, loose Keemun tea, and dense oak characteristics. Sweet baked orange with notable alcohols initially, then tangy with caramelized brown sugar, butterscotch, dark rum, Brazil nut, pepper, cacao, and black currant puree. With water, it tastes deliciously of chocolate. A serious heavyweight whisky."
"162","Exclusive Malts (distilled at Invergordon) 43 year old 1972, 48.2%","Grain Scotch Whisky","93","260","$","This grand old Highlander brings warm flapjacks baked with golden syrup, nutmeg, oak spices, toffee brittle, toasted muffin, cinnamon sticks, and beeswax polish. The oat breakfast cereals and caramel beckon in a fruit explosion of mango, burnt orange, raspberry, banana chips, and papaya. Rejoice in that dense, ever-changing satin mouthfeel, with Invergordon’s grain character only more apparent toward the end. Soft spice underplayed on a dry finish. An enchanting find."
"163","The Scotch Malt Whisky Society Pigs in Plaster 14 year old (#4.1980), 59.1%","Single Malt Scotch","93","140","$","This single cask, distilled at Highland Park, is an excellent example of why distilleries sell off certain casks. On the nose it’s Highland Park's signature sherry and peat, but on the palate it's a beast. Monster peat smoke surfs on a lush layer of berry and malt. This builds to a peak with smoke, salt, and oak spice, bolstered by the high proof. A smoky, dry finish rounds off a monster whisky, different from Highland Park's style, but very interesting. (Julio’s Liquors only)"
"164","Mackillop’s Choice (distilled at Mortlach) 1991, 56.6%","Single Malt Scotch","93","290","$","Full gold. Weighty, but not oppressed by wood. Full, rich rancio aroma, which brings to mind an ancient cognac. It is rich and powerful, but has great finesse and perfect balance: cooked fruit, some spice, a lot of waxiness, licorice…and then the distillery’s signature meatiness. The palate starts sweetly with ripe old autumn fruits, and soft tannins. This has everything you want from a mature whisky, and from Mortlach, with added elegance. Highly recommended. £198"
"165","Compass Box, Flaming Heart, Batch #2, 48.9%","Blended Malt Scotch Whisky","92","85.00","$","Balanced Islay whiskies combine peat smoke characteristics with a sweet foundation. They’re not one-dimensionally smoky. This whisky is an excellent example. This is a peat-laden whisky with refinement and grace. Creamy vanilla, caramel, and honey harmoniously marry with persistent -- yet controlled -- peat smoke. Crisp spice notes and dancing fruit throughout adds complexity. Well done."
"166","Compass Box Monster, 54.9%","Blended Malt Scotch Whisky","92","85","$","(Exclusive to Park Ave. Liquors, New York, NY) This is a vatting of two single malts: the malty and sometimes smoky Ardmore and the always smoky and spicy Caol Ila. The whisky expresses smartly complex aromas of smoky bonfire smothered with peat, with notes of tar, olives, freshly ground pepper, and seaweed. A sweet maltiness (from the Ardmore?) binds the flavors together. On the palate, the whisky begins sweet, then the powerful peat smoke emerges, yielding to olives, peppery spices, and seaweed. The finish is long and powerful with the peat smoke again emerging and lingering on seemingly forever. A monster indeed. This whisky’s complexity demonstrates the virtues of vatting. Many smoky whiskies have nothing else going on behind the cloak of smoke. This one does."
"167","Compass Box, The Peat Monster, Reserve Edition, 48.9%","Blended Malt Scotch Whisky","92","150.00","$","Compass Box Whiskies celebrates the fifth anniversary of The Peat Monster by thinking big: bigger intensity, put into a bigger bottle. This bold whisky is packed with Islay and coastal character, showing tarry rope, brine, and a hint of seaweed, along with teasing smoked olive, anise, and mustard seed. There is some civility to the whisky: sweeter notes of vanilla wafer, baked apple, ripe peach, and cream attempt to soften the blow. Smoke and tar on the finish. Nicely done. (Price is per 1.75L.) 
"
"168","Compass Box Flaming Heart 2012 Edition, 48.9%","Blended Malt Scotch Whisky","92","115.00","$","In my book, the bar can't be set much higher than it is for Flaming Heart and this latest version doesn't disappoint, though it does head off into a scuzzier, grittier, and more peaty direction than the 10th anniversary bottling, and has lost some of the black currant fruitiness in the process. No matter: this smolders with peaty and fishy intensity, works its way round to tinned strawberries, damson, and berry fruits, and emerges sooty and smoky. A BIG whisky."
"169","Compass Box Peat Monster 10th Anniversary Limited Edition, 48.9%","Blended Malt Scotch Whisky","92","130","$","Peat Monster is a staple Compass Box blended malt whisky, but this raises the bar significantly. The nose is “as you were”: peat reek, seaside, very Islay. But on the palate John Glaser's added some peaty Highland whisky—probably a signature Clynelish—to add a hint of licorice, a softer, fruitier smoke base, and through some virgin French oak, a delightful spiciness. Compass Box is in a purple patch. Again."
"170","Compass Box Great King Street New York Blend, 45%","Blended Scotch Whisky","92","75.00","$","The original Great King Street blend was all sweet lemon and spice. This is something else again. This is a gutsy, urban wise guy of a whisky, rich in peat, with distinctive malty flavors—all in all, closer to a malt than a blend. That's because of the high malt content, and only the rounded edges and soft finish are gilded by grain. Some fruit and spice emerge through the peat, but the smoke's what you remember—a master class in blending."
"171","Compass Box This Is Not A Luxury Whisky, 53.1%","Blended Scotch Whisky","92","225","$","This surrealist Compass Box whisky mimics the dimensional challenges of Magritte’s “Ceci n’est pas une pipe” by raising questions about the luxury pretensions of whisky. Is it the expense? Packaging? Good taste? Masquerading behind a green apple, a bowler-hatted John Glaser smiles enigmatically. Sultanas, charcoal smoke, toffee, chocolate, sea salt, and warm sherry tones. The alcohol rides with dense black cherry, cacao nibs, Colombian coffee, and dark fruits. Trails of smoking fruitcake finish the experience. Above all, buy and consume. (4,992 bottles)"
"172","Compass Box The Circus, 49%","Blended Scotch Whisky","92","275","$","Ringmaster John Glaser’s latest Big Top attraction: the nose juggles dark marmalade, almonds, sweet sherry, dates, and dried pineapple. Flavors swing like a trapeze between deep orange, dried tropical fruits, nuts, and chocolate, with the silky composure of a seal balancing a ball on its nose. Ridiculously smooth; if you’re looking for burn, try fire eating instead. Knife throwers accurately pinpoint the finish: fruit, (thud) chocolate (thud), spice (THUD). In this manner, Mr. G. will challenge the world! (2,490 bottles)"
"173","Compass Box No Name, 48.9%","Blended Scotch Whisky","92","125","$","Peatheads, listen up! Yes, there’s pine needles, zested lemons, honey, sanded wood, nutmeg, and cinnamon within this Islay-dominated blend, but it’s the billowing peat smoke that makes this special. It reeks gloriously of stacked fish boxes and heavy braided ropes on the pier. The dark fruit, baked lemons, cherry, clove, and cooked plum face entanglement in a labyrinth of shadowy stygian smoke. You could get lost in here for hours. (15,000 bottles)"
"174","Compass Box Hedonism Quindecimus, 46%","Grain Scotch Whisky","92","200","$","How time flies! This eloquent blended grain marks CBWC’s 15th anniversary and the combination of these aged grains is idiosyncratic of whisky auteur John Glaser’s distinctive taste. Rich honey, apricot stone, crisp spices, vanilla custard, gentle oak char, and tropical fruits promise a real reward. Succulently juicy, with melon, apple, and caramel, subtly paced, with chocolate and dark fruit infiltrating. Slowly the sweetness depletes to black pepper and spiced roast meats. Defer swallowing for as long as possible. (5,689 bottles)"
"175","John Walker & Sons Private Collection 2017 Edition, 46.8%","Blended Scotch Whisky","92","815","$","Closer to the heart of JW than its predecessors, Mastery of Oak follows a methodically complicated maturation and blending regime. American oak characteristics, singed cedar spills, damson jam, stewed apple, and rhubarb laced with peppery spice, nutmeg, and clove. A dichotomy of flavors: toffee apple and rhubarb become piquant, verging on sour, with a parallel strand of honey and Caramac. Short finish of the last vestiges of fruit and spice. (5,588 bottles, U.S. Travel Retail)"
"176","Johnnie Walker Blenders’ Batch No. 2 Bourbon Cask and Rye Finish, 40%","Blended Scotch Whisky","92","53","$","Try this in your next Manhattan. Heather honey sweetness, Belgian waffles, cinnamon, rye spices, creamy vanilla, peppercorn, and dried porcini emerge after the 6-month rye cask finishing period. Sweet caramel oozes over the tongue, Highland toffee and Orkney fudge hold the spices in check. Banana candy and deep citrus acknowledge the Dufftown single malt component. The most accomplished Blender’s Batch to date. Emma Walker has nailed it. (Travel Retail exclusive)"
"177","Chivas Regal 18 year old, 40%","Blended Scotch Whisky","92","99","$","It rarely gets better than this. Vanilla, almond slice, toffee, pencil shavings, sweet oak, and mild wood spices on the nose. Effortlessly smooth and delicate, this warms up gradually, with malt, dark fudge, leather, raisin, and tobacco notes before the wood spices, oak, and chocolate take center stage, ending with a warm, lengthy finish. This must be master blender Colin Scott’s most preciously guarded recipe. The man’s a genius!"
"178","Chivas Regal 18 year old Ultimate Cask Collection First Fill American Oak Finish, 48%","Blended Scotch Whisky","92","120","$","And you thought all Chivas Regal 18 year old was the same. Luscious toffee, cinnamon, nutmeg, chocolate praline, dry grasses, hazelnut, and just a lift of lime and peppermint. The palate has fudge-like sweetness, caramel, walnut cake, murmuring spices, orange peel, and toffee banana. Water unlocks watermelon and a fruitier side to its character. The spices push hard through the finish as the toffee flavors relinquish their grip."
